Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
10/30/1998,36.44,37.88,36.44,37.56,4298400,0,1,26.87693633,27.93903261,26.87693633,27.70301122,4298400
10/29/1998,35.94,36.5,35.19,36.25,2882000,0,1,26.5081529,26.92119035,25.95497776,26.73679863,2882000
10/28/1998,35.56,36.5,35.56,35.94,3326400,0,1,26.2278775,26.92119035,26.2278775,26.5081529,3326400
10/27/1998,35.19,35.81,35.19,35.5,2404200,0,1,25.95497776,26.41226921,25.95497776,26.18362349,2404200
10/26/1998,35.69,36,35.06,35.12,2241000,0,1,26.32376119,26.55240692,25.85909407,25.90334808,2241000
10/23/1998,36.44,36.81,35.19,35.69,3504900,0,1,26.87693633,27.14983607,25.95497776,26.32376119,3504900
10/22/1998,36,37.5,36,36.44,5217900,0,1,26.55240692,27.6587572,26.55240692,26.87693633,5217900
10/21/1998,35.94,36.38,35.06,36,3382900,0,1,26.5081529,26.83268232,25.85909407,26.55240692,3382900
10/20/1998,34.81,36.31,34.81,35.94,5357700,0,1,25.67470235,26.78105264,25.67470235,26.5081529,5357700
10/19/1998,32.56,34.56,32.56,34.44,4619200,0,1,24.01517692,25.49031064,24.01517692,25.40180262,4619200
10/16/1998,33.94,34.88,31.75,32.25,5088500,0,1,25.03301919,25.72633203,23.41774777,23.7865312,5088500
10/15/1998,33.5,34.38,32.5,33.94,2764000,0,1,24.70848977,25.3575486,23.97092291,25.03301919,2764000
10/14/1998,33.38,34,33.19,33.5,2980200,0,1,24.61998175,25.0772732,24.47984404,24.70848977,2980200
10/13/1998,33.12,33.5,32.94,33.38,3637000,0,1,24.42821436,24.70848977,24.29545233,24.61998175,3637000
10/12/1998,32.75,33.44,32.75,33.12,3521000,0,1,24.15531463,24.66423576,24.15531463,24.42821436,3521000
10/9/1998,31.19,32.12,31.19,32,3823000,0,1,23.00471033,23.6906475,23.00471033,23.60213948,3823000
10/8/1998,31.81,31.81,29.5,30.88,5766100,0,1,23.46200178,23.46200178,21.75822233,22.7760646,5766100
10/7/1998,32.94,33,31.38,32.12,3290600,0,1,24.29545233,24.33970634,23.14484803,23.6906475,3290600
10/6/1998,33.25,33.5,32.62,32.94,2942400,0,1,24.52409805,24.70848977,24.05943093,24.29545233,2942400
10/5/1998,32.56,33.5,31.56,33.25,3027100,0,1,24.01517692,24.70848977,23.27761006,24.52409805,3027100
10/2/1998,32.31,32.94,31.75,32.56,4589900,0,1,23.83078521,24.29545233,23.41774777,24.01517692,4589900
10/1/1998,34.31,34.31,32.25,32.31,4304000,0,1,25.30591892,25.30591892,23.7865312,23.83078521,4304000
9/30/1998,35.56,36.25,34.31,34.31,3869700,0,1,26.2278775,26.73679863,25.30591892,25.30591892,3869700
9/29/1998,34.94,35.94,34.75,35.56,2519100,0,1,25.77058605,26.5081529,25.63044834,26.2278775,2519100
9/28/1998,34.75,35.38,34.75,34.94,3180000,0,1,25.63044834,26.09511546,25.63044834,25.77058605,3180000
